Customer ID,Product Purchased,Rating (1-5),Feedback Text,2024-03-11
7297,Bread,1,Late delivery and product was defective.,2024-08-07
7024,Detergent,1,Late delivery and product was defective.,2024-02-16
5271,Smartphone,1,Customer service was unhelpful with my issue.,2024-06-04
2256,Shoes,5,"Excellent quality, totally worth the price.",2024-11-16
6358,Smartphone,3,Delivery was delayed but product quality is decent.,2024-06-04
8617,Shampoo,4,Fast delivery and product works perfectly.,2024-05-26
2477,Smartphone,2,Late delivery and product was defective.,2024-01-05
5698,Jeans,1,Late delivery and product was defective.,2024-08-21
1687,Smartphone,5,"Excellent quality, totally worth the price.",2024-05-19
2481,Shampoo,4,"Excellent quality, totally worth the price.",2024-06-19
7604,Jeans,1,Customer service was unhelpful with my issue.,2024-06-18
4775,Smartphone,1,"Not worth the price, would not recommend.",2024-06-07
5784,Shoes,5,"Excellent quality, totally worth the price.",2024-11-12
5631,Laptop,4,"Great value for money, will buy again.",2024-05-28
8528,Jeans,3,"Could use better features, but it works as intended.",2024-08-26
3319,Jeans,4,"Excellent quality, totally worth the price.",2024-06-20
3183,Shampoo,5,"Very satisfied with the product, exceeded expectations.",2024-08-10
6843,Soap,1,"Not worth the price, would not recommend.",2024-10-08
9386,Eggs,4,Fast delivery and product works perfectly.,2024-10-28
4976,Milk,4,"Excellent quality, totally worth the price.",2024-03-17
4567,Rice,3,The product is okay but could be improved.,2023-12-21
9479,Shoes,2,Customer service was unhelpful with my issue.,2024-06-06
4709,Jeans,3,Delivery was delayed but product quality is decent.,2024-05-31
1965,Milk,5,Fast delivery and product works perfectly.,2024-01-13
3966,Shoes,3,"Packaging was damaged, but product was fine.",2023-12-19
2744,Headphones,1,Customer service was unhelpful with my issue.,2024-06-10
7522,Bread,3,The product is okay but could be improved.,2024-01-19
5439,Eggs,4,Fast delivery and product works perfectly.,2024-10-30
2632,Jeans,5,"Great value for money, will buy again.",2024-04-22
8847,Smartphone,1,Customer service was unhelpful with my issue.,2024-09-12
6549,Shampoo,3,"Not too bad, not too great, average experience.",2024-04-03
7396,Shampoo,2,"The product broke after a few uses, very disappointed.",2024-09-04
4406,Soap,3,The product is okay but could be improved.,2024-09-15
4397,Eggs,3,"Could use better features, but it works as intended.",2024-07-02
3837,Eggs,3,"Could use better features, but it works as intended.",2024-05-17
3072,T-Shirt,5,"Excellent quality, totally worth the price.",2024-06-01
3166,T-Shirt,2,Late delivery and product was defective.,2023-12-21
4076,Jacket,4,"Very satisfied with the product, exceeded expectations.",2024-10-05
4067,Detergent,4,Fast delivery and product works perfectly.,2024-01-22
9384,Detergent,3,Delivery was delayed but product quality is decent.,2024-05-16
5424,Shoes,2,Late delivery and product was defective.,2024-05-30
6265,Detergent,5,Fast delivery and product works perfectly.,2024-08-16
2495,Rice,4,The product met all my needs and more!,2024-09-13
5487,Headphones,1,Customer service was unhelpful with my issue.,2024-09-07
1138,Soap,4,"Very satisfied with the product, exceeded expectations.",2024-06-04
3065,Eggs,3,The product is okay but could be improved.,2024-04-11
8424,Soap,3,The product is okay but could be improved.,2024-09-16
4191,Soap,4,The product met all my needs and more!,2023-11-22
1002,Laptop,3,"Not too bad, not too great, average experience.",2024-02-28
4021,Shampoo,2,Late delivery and product was defective.,2023-11-27
2612,Eggs,4,"Excellent quality, totally worth the price.",2024-06-17
6912,Jacket,3,"Could use better features, but it works as intended.",2024-05-10
4139,Eggs,2,Late delivery and product was defective.,2023-12-21
3781,Smartphone,3,The product is okay but could be improved.,2024-03-24
6724,Jeans,3,The product is okay but could be improved.,2024-04-26
2899,Shampoo,5,The product met all my needs and more!,2024-03-12
1909,Soap,1,Customer service was unhelpful with my issue.,2024-07-26
2772,Smartphone,5,"Great value for money, will buy again.",2024-05-26
4028,Soap,5,The product met all my needs and more!,2024-03-11
2153,Shampoo,2,Customer service was unhelpful with my issue.,2023-12-27
7693,Jacket,2,"Very poor quality, not as advertised.",2023-11-20
2386,Jeans,3,"Not too bad, not too great, average experience.",2024-07-10
8185,Soap,5,"Very satisfied with the product, exceeded expectations.",2024-01-16
7028,Smartphone,2,"Not worth the price, would not recommend.",2023-12-16
4491,Jacket,1,"Very poor quality, not as advertised.",2024-04-20
2582,Eggs,4,"Excellent quality, totally worth the price.",2024-03-27
1697,Laptop,4,"Excellent quality, totally worth the price.",2023-12-27
3158,Eggs,2,"Not worth the price, would not recommend.",2024-02-15
8144,Smartphone,4,Fast delivery and product works perfectly.,2024-04-15
2393,Shampoo,3,"Packaging was damaged, but product was fine.",2024-09-04
9300,Smartphone,3,"Could use better features, but it works as intended.",2024-11-01
2791,Rice,1,"The product broke after a few uses, very disappointed.",2024-10-09
1668,Shampoo,2,Late delivery and product was defective.,2024-07-27
4061,Toothpaste,4,The product met all my needs and more!,2024-06-11
3384,Smartphone,3,The product is okay but could be improved.,2024-05-24
2560,Eggs,4,The product met all my needs and more!,2024-07-22
1445,Milk,3,"Could use better features, but it works as intended.",2024-02-24
4737,Shampoo,2,"Not worth the price, would not recommend.",2023-11-28
2513,Laptop,2,"The product broke after a few uses, very disappointed.",2023-12-01
6366,Detergent,2,Late delivery and product was defective.,2024-09-23
1429,Eggs,5,"Very satisfied with the product, exceeded expectations.",2023-12-01
1888,Bread,5,The product met all my needs and more!,2024-08-09
7092,Soap,1,Late delivery and product was defective.,2024-04-07
6717,Rice,3,"Could use better features, but it works as intended.",2024-02-01
7637,Detergent,3,Delivery was delayed but product quality is decent.,2024-08-06
2929,Shoes,3,"Could use better features, but it works as intended.",2024-04-29
5516,Toothpaste,4,The product met all my needs and more!,2024-05-29
5937,Smartphone,3,"Could use better features, but it works as intended.",2024-09-23
8897,T-Shirt,1,"Very poor quality, not as advertised.",2024-04-25
8290,Detergent,4,The product met all my needs and more!,2024-06-06
2809,Smartphone,1,"Very poor quality, not as advertised.",2023-12-17
4541,Jacket,4,"Very satisfied with the product, exceeded expectations.",2024-05-04
8523,Shoes,1,"Not worth the price, would not recommend.",2024-04-19
2964,Headphones,4,"Excellent quality, totally worth the price.",2024-08-03
3667,Jacket,3,"Not too bad, not too great, average experience.",2024-09-25
4608,Laptop,3,Delivery was delayed but product quality is decent.,2024-09-10
6615,Rice,2,"The product broke after a few uses, very disappointed.",2024-01-02
8746,Toothpaste,2,Late delivery and product was defective.,2024-08-09
4977,Toothpaste,3,"Not too bad, not too great, average experience.",2024-11-06
2070,Shoes,3,The product is okay but could be improved.,2024-09-19
7424,Toothpaste,1,Late delivery and product was defective.,2024-04-17
8356,Detergent,5,"Excellent quality, totally worth the price.",2024-08-01
3350,Shoes,3,"Could use better features, but it works as intended.",2024-05-15
8133,Milk,1,"Very poor quality, not as advertised.",2024-09-07
5552,Tablet,2,"Very poor quality, not as advertised.",2024-02-15
3440,Shoes,1,"The product broke after a few uses, very disappointed.",2024-10-26
6539,Toothpaste,3,"Could use better features, but it works as intended.",2024-05-15
5003,Tablet,5,"Very satisfied with the product, exceeded expectations.",2024-10-23
8932,Tablet,3,"Not too bad, not too great, average experience.",2024-05-18
6468,Headphones,1,"Not worth the price, would not recommend.",2024-03-08
4042,Toothpaste,2,Customer service was unhelpful with my issue.,2024-04-26
9868,Tablet,4,The product met all my needs and more!,2024-08-16
8805,Shampoo,5,The product met all my needs and more!,2024-03-15
8440,Shampoo,5,"Great value for money, will buy again.",2024-07-02
6786,Jeans,4,"Excellent quality, totally worth the price.",2024-01-11
4414,Milk,2,"The product broke after a few uses, very disappointed.",2024-11-15
1156,Shoes,3,"Could use better features, but it works as intended.",2024-10-30
2539,Detergent,5,"Excellent quality, totally worth the price.",2024-02-11
8433,Toothpaste,1,"The product broke after a few uses, very disappointed.",2023-12-19
5806,Shampoo,2,Customer service was unhelpful with my issue.,2024-01-24
6817,Jacket,5,The product met all my needs and more!,2023-12-21
4063,Soap,1,Customer service was unhelpful with my issue.,2024-06-03
6303,Jacket,3,The product is okay but could be improved.,2024-06-06
2771,Jacket,3,"Not too bad, not too great, average experience.",2024-07-17
1652,Eggs,1,Customer service was unhelpful with my issue.,2023-12-21
4873,Jacket,3,"Packaging was damaged, but product was fine.",2024-03-10
7415,Shoes,4,"Excellent quality, totally worth the price.",2024-02-11
6830,Headphones,5,"Great value for money, will buy again.",2023-12-10
5678,Shampoo,4,The product met all my needs and more!,2024-06-16
7377,Bread,3,"Could use better features, but it works as intended.",2024-06-22
8567,Eggs,2,Late delivery and product was defective.,2024-10-08
3704,Laptop,4,"Very satisfied with the product, exceeded expectations.",2024-05-04
2691,Shampoo,3,The product is okay but could be improved.,2024-09-03
1098,Smartphone,4,The product met all my needs and more!,2024-02-19
5272,Toothpaste,5,"Excellent quality, totally worth the price.",2024-03-12
1635,Headphones,3,"Packaging was damaged, but product was fine.",2024-11-12
5180,Headphones,4,The product met all my needs and more!,2024-02-05
3369,Milk,5,"Very satisfied with the product, exceeded expectations.",2023-12-04
7923,Headphones,2,"Very poor quality, not as advertised.",2024-09-18
1326,Jeans,2,"The product broke after a few uses, very disappointed.",2024-05-19
4392,Milk,3,The product is okay but could be improved.,2024-03-31
6761,T-Shirt,1,"Very poor quality, not as advertised.",#REF!
